Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
M,-0.17,0.45,0.44,62.13,133.67,37.60
M,-0.29,0.18,0.97,25.09,24.84,-3.85
M,-0.40,0.18,0.51,27.22,18.37,2.01
M,-0.35,0.31,0.93,17.70,-9.52,-8.91
M,-0.33,0.22,0.62,1.34,42.85,-33.81
M,-0.42,-0.12,0.50,7.87,40.59,-47.49
M,-0.42,0.04,0.47,8.30,14.89,-5.55
M,-0.39,0.00,0.53,11.96,7.14,-1.34
M,-0.39,0.39,0.73,3.11,-15.99,8.12
M,-0.35,0.12,0.68,12.02,3.11,-19.10
M,-0.29,0.23,0.55,-3.05,-7.32,-3.30
M,-0.28,0.22,0.69,-24.41,-42.24,-9.95
M,-0.24,0.11,0.74,-19.65,-32.65,-3.78
M,-0.22,0.14,0.54,-8.48,-25.45,-2.69
M,-0.18,0.08,0.24,11.90,-39.12,-3.23
M,-0.20,0.09,0.07,11.54,-63.66,2.87
M,-0.10,-0.03,0.04,10.99,-106.99,-0.31
M,0.15,-0.27,-0.19,-2.26,-137.82,24.66
M,0.22,-0.29,0.02,-9.64,-190.37,50.54
M,0.50,0.04,0.50,-33.87,-237.06,85.14
M,0.70,0.23,1.68,1.89,-246.03,54.50
M,0.66,0.41,1.84,8.00,-188.17,48.58
M,0.64,0.32,2.16,-4.46,-154.66,20.87
M,0.60,0.20,2.22,-7.08,-107.06,15.44
M,0.42,0.06,1.92,11.54,-35.16,-4.15
M,0.33,0.17,1.85,12.51,3.85,6.77
M,0.35,0.36,1.82,8.24,20.57,3.17
M,0.29,0.12,1.78,10.19,60.12,-22.03
M,0.20,0.20,1.61,10.56,114.81,-14.10
M,0.17,0.21,1.27,24.78,153.26,-18.49
M,0.12,0.15,1.16,47.06,120.61,-29.36
M,0.11,0.17,1.35,45.65,129.52,-26.86
M,0.15,0.29,1.09,48.89,183.23,-31.98
M,0.06,0.15,0.27,33.20,187.62,-35.71
M,0.01,0.23,0.44,28.26,100.71,-19.10
M,-0.02,0.22,0.65,13.49,72.27,-16.30
M,-0.02,0.30,0.32,-4.33,78.86,-16.48
M,-0.01,0.26,0.30,-5.74,50.90,-26.61
M,0.00,0.18,0.13,-4.39,26.00,-30.27
M,-0.02,0.11,0.04,3.23,-8.97,-22.83
