Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
A,0.38,0.61,1.71,160.22,65,-12.7
A,0.41,0.59,1.09,59.08,134.77,-87.65
A,0.4,0.27,1.14,24.96,103.82,-122.44
A,0.29,-0.09,0.85,11.78,119.32,-117.74
A,0.18,0.12,0.72,-10.19,101.38,-69.27
A,0.1,0.17,0.67,-10.01,90.52,-65.25
A,0.08,0.19,0.87,15.5,86.61,-78.8
A,0.04,0.04,0.45,35.22,105.35,-80.81
A,-0.01,-0.09,0.47,39,78.55,-76.23
A,-0.09,0.03,0.54,50.72,63.48,-41.93
A,-0.13,0.19,0.23,29.91,37.05,-25.21
A,-0.16,0.21,0.41,11.6,-3.48,-25.82
A,-0.15,0.21,0.5,10.99,5.74,-37.29
A,-0.17,0.05,0.26,13.79,4.76,-44.8
A,-0.17,0,0.28,0.55,-40.04,-26.37
A,-0.19,0.23,0.34,-10.8,-63.72,3.48
A,-0.18,0.35,0.43,-6.04,-86.55,-3.66
A,-0.12,0.14,0.43,-13.85,-89.54,-20.45
A,-0.06,0.15,0.26,-27.1,-132.02,-6.84
A,0.06,0.18,0.45,-34.61,-180.85,-1.34
A,0.27,0.21,0.7,-46.2,-215.33,1.16
A,0.45,0.22,1.33,-40.34,-248.9,-3.17
A,0.47,0.08,1.59,-25.02,-158.39,-20.69
A,0.51,-0.34,1.38,-27.83,-146.42,-20.2
A,0.51,0.15,1.99,-29.79,-147.4,22.09
A,0.48,0.13,2.06,12.27,-28.63,-38.88
A,0.36,-0.24,1.14,11.6,23.8,-36.87
A,0.3,-0.11,1.43,6.04,-2.26,-12.51
A,0.28,0.18,1.26,13.98,28.81,5.07
A,0.28,0.02,1.36,27.89,32.9,-18.19
A,0.32,-0.07,1.32,33.75,67.57,-11.84
A,0.31,-0.35,1.31,18.43,98.75,8.48
A,0.25,-0.15,0.67,24.35,131.29,49.19
A,0.2,-0.24,1.28,68.24,75.13,45.41
A,0.17,-0.25,0.88,38.64,123.84,86.06
A,0.13,0.11,0.87,38.88,104.13,114.44
A,0.01,0.35,0.73,30.64,95.4,108.89
A,0.02,0.43,0.67,39.12,82.4,94.67
A,0,0.3,0.67,24.35,61.1,82.03
A,0.01,0.61,0.57,-4.09,39.31,96.31
A,0.03,0.85,0.5,-20.51,16.11,78.8
A,0.1,0.52,0.72,-15.26,-20.63,25.88
A,0.16,0.65,0.79,-10.8,-18.86,33.02
A,0.15,0.88,0.66,-11.11,-16.66,22.95
A,0.15,1.05,0.56,-11.41,-28.93,-36.07
A,0.15,0.66,0.65,-11.6,-54.63,-84.47
A,0.1,0.92,0.48,-29.24,-63.9,-70.37
A,0.24,0.89,0.74,-71.59,-109.38,-145.39
A,0.27,0.08,1.13,-58.17,-100.65,-181.03
A,0.26,-0.1,0.5,-71.47,-51.27,-122.74
A,0.38,-0.08,1.33,-52.06,-92.83,-107.24
A,0.42,-0.4,1.27,-23.99,-35.34,-117.92
A,0.41,-0.74,1.11,-22.22,-27.59,-80.14
A,0.34,-0.4,1.04,-14.59,-14.04,-17.4
A,0.27,-0.37,1.26,6.41,-18.8,-16.6
A,0.21,-0.28,1.01,6.41,10.19,1.89
A,0.16,-0.22,1.11,6.47,4.21,13.98
A,0.16,-0.04,1.04,3.91,17.82,25.27
A,0.13,0.04,1.04,21.36,10.68,24.66
A,0.1,0.02,0.98,27.53,19.65,24.17
A,0.12,0.14,0.98,20.57,11.05,25.45
A,0.14,0.18,0.99,13.92,17.7,30.88
A,0.15,0.09,0.98,14.89,21.61,24.17
A,0.17,0.11,1,22.95,23.99,31.98
A,0.2,0.01,1.19,23.19,23.68,35.34
A,0.19,0.02,1.01,15.75,58.29,55.91
A,0.14,-0.04,0.73,28.14,45.29,58.17
A,0.12,-0.17,0.88,14.22,33.51,74.34
A,0.01,-0.05,0.4,-37.29,30.15,123.41
A,-0.12,0.93,0.04,-11.41,-36.99,129.94
A,-0.12,0.57,0.81,-16.91,-113.95,46.88
A,-0.09,0.43,0.35,-118.35,-99.43,52.67
A,0.23,0.63,1.16,-130.55,-182.43,16.42
A,0.4,0.23,1.81,-111.08,-145.57,-36.44
A,0.54,-0.41,1.42,-96.25,-34.85,-52.8
A,0.47,-0.26,1.5,-106.32,-38.51,-11.9
A,0.51,-0.06,1.76,-67.02,-5.13,-34.12
A,0.47,-0.36,1.49,-55.36,65.61,-30.58
A,0.38,-0.12,1.19,-50.72,73.91,-14.83
A,0.35,-0.12,1.28,-50.96,79.96,-35.71
A,0.29,-0.21,1.1,-40.89,100.52,-42.11
A,0.3,-0.24,1.07,-8.18,105.96,-42.85
A,0.21,-0.14,0.89,18.43,98.57,-40.83
A,0.18,-0.1,0.99,24.84,84.84,-46.2
A,0.26,-0.35,1.15,50.6,97.11,-57.13
A,0.17,-0.43,0.81,45.78,126.71,-35.58
A,0.07,-0.1,0.73,37.66,101.81,-13.06
A,0.01,-0.12,0.83,23.38,94.36,-27.47
A,-0.01,-0.23,0.89,18.07,94.6,-30.46
A,-0.09,-0.21,0.8,30.7,108.64,-18.01
A,-0.2,-0.06,0.13,28.32,105.59,-9.34
A,-0.23,0.1,0.2,19.53,48.1,-8.61
A,-0.21,-0.07,0.64,17.21,19.96,-29.36
A,-0.24,0,0.34,25.63,26.06,-17.76
A,-0.27,0.01,0.25,25.15,0.18,-21.67
A,-0.26,-0.1,0.42,27.53,-30.7,-25.21
A,-0.16,0.08,0.44,20.14,-48.95,-18.55
A,-0.16,-0.05,0.7,27.83,-68.66,-26.79
A,-0.09,-0.1,0.42,32.23,-59.02,-24.72
A,-0.03,-0.11,0.54,29.17,-91.86,-13.98
A,0.03,0.08,0.54,17.09,-112.61,-8.48
A,0.06,-0.19,1.07,27.04,-138.06,-16.42
A,0.13,-0.08,1,31.56,-119.2,5.49
A,0.23,0.01,1.17,18.49,-132.14,-9.95
A,0.16,-0.11,1.71,31.68,-106.93,-0.55
A,0.17,0.09,1.65,22.95,-66.28,0.67
A,0.15,-0.05,1.32,23.32,-40.1,-7.87
A,0.21,-0.22,1.57,10.62,-51.64,-21.61
A,0.22,-0.2,1.48,7.81,-22.22,-2.44
